리뷰 번호,리뷰 원문,카테고리
72459,배송 3일만에 왔구요 너무친절하셨구 바로 해주고 가셨어요사다리차 무상으로 전 냉장고도 가져가셨구요 친절하게 해주셨어요 위치도 잘잡아주시고  냉장고 넓고 좋아요,공간효율성
72464,디자인굳배송굳성능굳,디자인
72465,넓어서 사용하기 좋습니다,공간효율성
72466,넓어서 매우 좋아요 기사님도 친절하게 설치하시고 설명도 잘해주셨어요,공간효율성
72468,냉장실은 굉장히 넓고 냉동고는 작은데 냉동식품을 사지 않는 것이 더 좋겠지요,공간효율성and공간효율성
72469,냉장고 예상보다 큽니다공간 충분합니다,공간효율성
72476,고민하다가 김치톡톡으로 결정했고 구매하였습니다상칸은 김치통6칸이 있는데요냉기를 막아주는 유리문이 따로 있어서 다른 김치냉장고에 비해냉기손실이 덜 할것같습니다중칸하칸은 두통씩 들어있는데 김치통 싸이즈가 생각보다큽니다 기존에 쓰던 김치통보다 커서 여유있네요서랍부분이 부드러워서 정말 좋구요무엇보다 에너지등급 1등급이라 전기세 부담이 없네요,기타and기타and동작편리성
72480,간편하게 쓰기에는 디자인도 좋고 만족합니다,디자인
72481,가전은 엘지 냉장고 넘 이쁘네요,디자인
72482,가격 좋구 기사님 친절하시고 냉장고 이쁘고 다 맘에 들어요 좋습니다,디자인
72490,디자인이깔끔하니예쁘고 용량도충분하네요 lg기사님들도친절하셔서기분좋게설치했어요 한해김치맛있게먹기를기대합니다,디자인and디자인and공간효율성
72494,배송 원하는날짜에 도착했고포장도 안전하게 왔고기사님들이 설치하고 나니 더 좋아보입니다냉동실에 LED실내등이 없이 나온 냉장고라네요그래도 시원시원하게 잘 돌아가고  소음이 적네요,기타and소음
72495,김치냉장고가 오래돼서 다른제품 쓰다 이번에는 LG 써보고 싶어서 바꿨는데 디자인 깔끔하고 김치통 너무 크면 무거운데 적당하고 일반 냉장고 너무 작았는데 한칸을 냉장실로 이용하니까 좋네요 윗칸 선반은 유리로 돼 있고 공기 막아주는 칸막이가 있어서 신선하게 유지될거 같아요 맨아랫칸은 김치통이 큰거 2개랑 작은거 2개네요 큰거 4개준알았는데 그점은 좀 아쉬워요,디자인and기타and기타
72497,11월26일 밤 주문 29일배송딤채5년 썼는데 컴프레서 고장으로 엘지로 바꿨어요컴프10년 보증이고 상칸에 LED등이 있어서 좋아요,시인성가독성
72499,친정부모님께  선물했는데 할인도  많이받고부모님 만족해하시고다음날 달려가서  보았는데 예쁘고  만족스러웠습니다우리집에도 하나  장만할까합니다,디자인
72501,친정 엄마 냉장고 바꿔 드렸어요30년 가까이 쓰시 던 냉장고 드디어 바꿔 드렸습니다일단 백색가전은 LG그리고 메탈이나 다른색은  싫다고 하셔서 흰색 냉장고를 찾고 또 찾아 드디어 f872sw30을 만났어요 상냉장 하냉동이면 좋겠고 흰색이면 더욱 좋겠다는 두가지 조건을 말씀하셨는데 정말 딱 맞는 냉장고가 있어서 얼마나 반가웠나 몰라요냉장고 배송 되던 날 들뜬 목소리로 전화가 왔어요 냉장고 덕에 집의 품격이 달라 보인다나요 기사님들도 친절하시고 너무 좋으시네요 고민 끝에 선택한 보람이 있었어요 색상도 마음에 들지만 매직스페이스에 한 번 더 만족하시고 이건 저도 탐납니다 내부공간도 넓어서 좋으시데요 기존 냉장고에 있던 것들을 어떻게 정리하나 막막했는데 그냥 무작정 집어 넣어도 공간이 남는다고 하시네요 대용량 바스켓이랑 무빙바스켓등 수납이 잘 되어있어서 활용하기가 참 좋아요 우리 집 냉장고는 언제쯤 고장이 날려나저도  이냉장고로 바꾸고 싶어요 욕심납니다 주문번호,공간효율성and공간효율성
72504,친절하게 설치 잘 해주셨고 냉장고도 크고 수납 짱짱하니 맘에 들어요잘 쓸게요,공간효율성
72510,주문후 10일 걸려서 받아보고 나니 실물이 훨씬 이쁘고 좋아요  생각보다 커 보이지도 않고 냉장고 없이 다시는 못살것 같아요,디자인
72511,좋아요흰색상이라 깔끔하네요배송기사님도 친절하게 설치해주고 가셧네요전에 쓰던 김치냉장고도 엘지 스탠드 였는데다시 이걸로 구매했네,디자인
72513,좋아요크고 조용하고 만족합니다,소음
72517,조용하고디자인도예쁩니다 사다리차를 쓸수없어 들고올라 오시느라 기사님들이 고생을 많이하셨네요 감사드리고 잘쓸께요,디자인and소음
72531,냉장보다는 냉동고 수납이 더  많고요작은방에 놓고 쓰는데 소음도 괜찮아요배송기사님도 친절하고  약속시간도 잘지키시고요아주 만족합니다,소음and공간효율성
72532,김치냉장고 생각보다 작은감이라 아쉽기는 하나 기존의 김치냉장고와 겁나게 비교되네요 그야말로 김치톡톡 유산균이 살아있는듯 김치가 아삭아삭 너무나도 맛나게 발효됩니요 외관 또한 잘빠졌에요 자리 많이 차지하지 않아요  내년에 이사하는지라 그때 냉장고도 LG 큰넘으로 바꿔버릴거야요 착한기업 LG 만방에서 우뚝솟아야지요LG승승장구하셔요,디자인
72537,원하는  날짜에  맞게 배송 해주시고 설치 기사님들  엄청 친절하시네요 상품도 맘에들구요 소음도 거의 없네요  아주맘에듭니당,소음
72540,우와 두드리면 보이는 그핫한 냉장고군요,시인성가독성
72546,예쁘고 크고 편리하고 정말 좋아요추천,디자인
72549,양문쓰다가 바꾸니심플하긴한데 냉동실수납이떨어지네요,공간효율성
72551,김치냉장고 작은거 밖에 없어서 중간껄로 1등급제품으로 사드렸어요아직 설치만해서 쭉 사용해봐야되겠지만 외관상은 마음에 들어요1등급제품인것도삼성제품이랑 고민하다가 엘지로 선택했어요급하게 산다고 카드할인 못받은건 아쉽네요환급신청도 마쳤어요잘 쓸께요,디자인
72556,삼성지펠 쓰다가다들 엘지디오스 냉장고가 좋다는애기에이번참에 엘지로 바꿨습니다실물을 안보고 인터넷 구입이기에살짝 걱정이 됐지만 도착후 물건을 넣어보니생각보다  쉽게쉽게  찾고싶은 먹거리를바로 꺼낼수있을듯 싶어 완전 만족합니다수시로 꺼내야하는 물병같은것은상단문만 열수있게되어 특별히 더 맘에듭니다단 단점은상단문이 자동이 아니어서물을 꺼낸후엔 다시한번 냉장고문을 확인해야하는 불편함 있지만조금만 신경쓰면 될듯하고 다른 좋은점이 많은 제품이기에 패쓰합니다냉동실 다맘에 들지만얼음칸이 너므 작습니다얼음알갱이도 너므작은통 이라서 얼음통대신 그냥 자유롭게 얼음얼려 담아놓을수 있는 통을 하나 더 달아놓는것은 어떨까합니다여름엔 턱없이 얼음이 모자랄듯다른 건 다 맘에듭니다깊고 넓어서 냉동실을 잘활용할듯 싶습니다다행히 냉동실문은 자동이라 문여닫는것은 신경쓰지 않아도 좋을듯 합니다야채실 위아래칸 한눈에 내용물확인할수있어서좋습니다같은 800리터대 냉장고에서젤 저렴하면서 2등급 전력소비완전 탁월한 선택이였습니다특히나엘지배송기사님너므너므 친절하십니다,동작편리성and공간효율성and동작편리성and시인성가독성
72557,김치냉장고는 처음인데 살까말까 고민많이 했는데 사길 잘했네요시골에서 사과를 가져왔는데 공간이 넉넉해서 서랍 윗칸에 두박스가까이 들어가네요문에도 음료나 맥주넣는 공간이 있고 김치냉장고에 넣어둔맥주가 엄청맛있다고 하던데 빨리 먹어보고 싶네요살짝 단점이라면 신경쓸정도는 아닌데 조용히 있으면 소음이 좀나요근데 설정온도에 도달하면 하나도 안나요색상이면 기능이면 구조며 전체적으로 만족합니다,공간효율성and소음and소음and디자인
72558,디자인과 성능은 좋아요소음이 좀 있어요잘쓰겠습니다,디자인and디자인and소음
72560,세상에 냉장고를 우와 우리집 냉장고살때 남편이 예산 백만원이라했는데 백십만원짜리사서 흑흑 정말 이집 냉장고 고급스럽습니다 집들이 한번 하시죠b,디자인
72563,냉장고  냉동실 용량이 부족해  냉동고 구매햇니다서랍식이라 사용하기 편리합니다 서랍은 빠지지 않아 그대로 두고닦은후 사용중인데 냉동 아주 잘되고  칸칸이 양념류 만두류 고기류등등 보관 편리에  만족입니다,동작편리성and기타and공간효율성
72567,다른브랜드로 하려다 엘지로 선택했으며 스탠드라 편하네요또한 윗쪽은 냉장냉동으로 변경이 가능해 좋네요색상이 좀밝아 그게 좀 아쉽네요,조작편리성and디자인
72578,배송기사분도 친절하고 안전하게 배송해주셔서 감사드려요 상담해주시는 분도 친절하시구요이번 김장철에 어머님 아버님댁에 놓아드렸는데 김치가 엄청들어가네요 디자인도 너무 세련되어 좋아하시고 전류등급이 2등급이라짱맨아랫칸은 쌀을 넣을수있어 여름철엔 벌레걱정 없겠어요 여튼 온라인보다 저렴하고 만족합니다,디자인and공간효율성
72579,깔끔하고 맘에들어요 배송기사님  냉장고 함에 넣어주시고 문열리는것과 수평 맞춰주고 가셔서 좋았는데 문제는 윗칸 통이 안빠짐그것까지 확인해주셨으면 좋았을껄냉장고를 다시 뒤로 미느라 수평 다 오류나고 힘들었네요,동작편리성
72584,배송빠르고 디자인돟고 김치통도크고좋아요,디자인
72586,배송 늦을거라 했는데 일주일 안걸렸구요냉장고도 디오스라 사이즈 색상 딱 좋아요기사님도 넘 친절폐가전 수거 해주시구만족 가전은 역시 엘쥐,디자인
72589,문 똑똑 두드리면 보이는거 완전 신세계네요  가전제품은 한 번 사면 정말 오랫동안 안사게 되는 것 같아요,시인성가독성
72590,멋진 디자인에 좋은 성능 그리고 넓은 공간모두 만족합니다,디자인and공간효율성
72594,키워드로 구매 후기를 작성하려고 합니다 구매를 고려하시는 분들은 참고하세요  제품 어머님을  사드린 냉장고인데요 어머님께서 엘지 냉장고가 튼튼하다고 엘지 제품으로 사달라고 하시더군요엘지 냉장고 중에서 유행을 타지 않고 다소 좁은 집에 깔끔해 보이는 모델을 고르던 중 화이트 색상은 F872SW30 모델 하나였고 필요한 기능이메직스페이스였는데 이 기능도 있고 가격도 저렴해서 바로 구매 했습니다 공식 판매점 와이케이지YKG많은  판매점이 있지만 우선 공식 판매점에서 구매를 하는 것이 좋을 것 같다는 막연한 생각으로 구매를 했는데요 막연한 생각은 옳았습니다  냉장고를 급히 사야하는 상황이었기에 몇번에 게시판으로 질문을 드렸고 전화도 몇번 했었는데 너무나 친절하게 응대를 해주셨고 약속한 날짜에 정말 배송이 진행되어서 기분이 좋았습니다 나중에 냉장고를 구매할 일 있으면 다시 찾고 싶네요  와이케이지 판매점이 이번 냉장고를 구매할 때 참 많은 것들을 편하게 해주었습니다  배송 및 설치오전 중 연락이 와서 배송이 진행되었고 LG 기사님들이 오셔서 866리터 냉장고가 출입문보다 크기에 현관문을 완제품 형태로는 통과할 수가 없어서 밖에서 문을 분리하고 집 안에서 다시 조립해 주셨습니다 대부분 집에는 현관문으로 제품이 바로 들어갈 수 없다 이렇게 들어가야 한다고 하네요 깔끔하게 조립해 주셨고 이것 저것 사용상에 주의사항을 잘 설명해 주고 가셨습니다 배송 및 설치도 만족 스러웠습니다 다행히 사진을 찍고 포토 상품평 이벤트에 지원할 수 있네요 실물화이트로 깔끔하고 집안 벽지 색과 어울려 깔끔하고 넓어 보였습니다  예전에 붉은 색 계열에 냉장고를 쓴적이 있는데 유행이 지나면 다소질리는 감이 있더라구요  메탈도 현재 유행이긴 하지만 나중에 질릴 수도 있을 것 같았고 냉장고는 고장이 없으면 오래 쓰니 역시 화이트를 선택하길 잘 했단 생각이 들더군요 총평그냥 이거 여기서 사세요 좋아요,디자인
72598,디자인도 이쁘고 색상도 이쁘고 싸이즈도 좋고 김치 과일 곡류 나눌수있고필요시 냉동기능도 있어서 여러모로 좋습니다,디자인and디자인
72602,냉장고 이쁘고 좋습니다문이 강화유리로 되어있어  반짝반짝 빛납니다지마켓에서 젤 저렴하고 좋은가격에 잘 샀어요정확한 시간에 배송도 잘 해주셔서감사했습니다,디자인
72603,냉장고 이뻐요 가격이 비싸서 그렇지 만족합니다,디자인
72605,냉장고 색상이 이뻐서 자꾸 쳐다보게 되네요,디자인
72606,냉장고 넘 예뻐요저도 탐나는 냉장고입니다,디자인
72607,내장고  색상이  이쁘네요,디자인
72618,희망배송일에 배송 해주고 냉장고도 맘에 들어요사다리차도 무료고 설치도 깔끔하고 빠르게 잘 해주고 가셨어요 냉장고 소음도 없고 진짜 좋아요,소음
72619,희망 배송일에 맞추어 배송해주셨어요470리터지만 생각보다 크네요냉장이 위에 있어서 허리구부리지 않아서 좋아요작동 소음이 조용하니 좋은거 같아요,소음
72622,혼자살아서 작은걸 살까 고민하다 주문했는데크기 적당하네요 딱 좋아요디자인색상 다 맘에 쏙듭니당,디자인and디자인
72625,타사 김냉썼을때 소리가 너무컸었는데 소음이 없어서 좋네요 김치맛도 좋았으면 하는 바램이네요 주문하고 일주일만에 받았어요,소음
72626,기존 쓰던 삼성냉장고가 6년 정도 되었는데 자주 고장나고 커 적당한 크기의 LG냉장고를 찾아 구매하게 되었다 크기도 적당하고 소음도 없어 만족합니다,소음
72627,역쉬 lg네요크기도 엄청크고 소음도없어요냉장고도 이쁘구요바꾸길  정말 잘한것같아요,소음and디자인
72628,크기도 딱 좋고 안에 이것저것 넣기도 구성이 좋네요김치냉장고 겸 두번째 냉장고로 쓸려고요배송도 제때 와줘서 김치 잘 넣었어요,공간효율성
72633,늘갖고싶었던 김치냉장고예요 집에김치냉장고가있지만 스탠드형이아니라 항상 불편했거든요 이번김장하기전 에 꼭구입해야겠다마음먹고 저질러버렸죠  냉장고가소음도적고 디자인도꼭마음에드네요 쌀넣는곳도있고해서 너무좋은것같아요 너무마음에들어요번창하세요,소음and디자인
72638,지금까지 김치냉장고는 항상 LG브랜드를 사용해왔고 이번 구매에도 망설임없이 LG 디오스 선택뚜껑형에서 스탠드로 바꾸니 훨씬 사용하기 편한 느낌이네요화이트 색상의 깔맞춤에 깔끔한 디자인이 맘에 쏙 드네요 사용해봐야 알겠지만 57배 유산균으로 이번에 담근 김치가 얼마나 맛있어 질려나 무척 기대되네용다만 좀 아쉬웠다면 배송이 넘늦게 왔다는데 흠이네요 하여튼 잘 사용하도록 하겠습니다,디자인
72640,주문하고 8일째에 배송되어 설치했습니다 생각보다 고급스럽고 저장공간도 커서 좋습니다,공간효율성and디자인
72642,이사로 참 고민하며 골랐는데외관도 깔끔하고 기능도 좋은듯 하구요김치통도 10개나 되고 참 좋습니다주문번호4,디자인
72647,좋아요그런데 소리가 좀나네오,소음
72667,며칠전  저희집꺼  구매후  써보니 너무좋아재구매  했어요시어머님댁에  놔 드렸습니다어머님은  채  쓰시던분인데  엘지김치냉장고는 통도  큼직하고  쓰시기 좋다고  만족하셨어요밤에  배송 받고 뒷베란다에  놔서 사진이  잘 안나왔는데  넘 예쁘고 짱짱합니다저는 배송  늦게 받았지만  어머님은  바로  이틀후 배송  받았구요배송도  만족하고  무엇보다  김치  냉장고 한대값으로  두대 샀어요매장에서 본  김치 냉장고들  넘 비싼거  많은데  그 가격으로  저희집  시어머님댁 두집이  득템했어요판매자분  친절하시고  문의사항 답글 주시고구매 추천합니다,디자인
72673,매우 만족이요자리 많이 차지하지않고내부 넓고,공간효율성and공간효율성and공간효율성
72678,이쁘고 조으네요잘쓸게요,디자인
72691,오늘 설치한거라 더 사용을 해봐야 알겠지만 현제는 조용하고 좋습니다 특히 주문 바로 다음날 배송을 해주셔서 좋았습니다 배송기사도 친절하게 설치를 해주셔서 감사합니다,소음
72704,소음도없고 넘좋네요 2등급인게 조금걸리지만 전기요금많이안나오더라구요 추천해요 기사님 정만친절하십니다,소음
72710,잘 쓸게요 생각만큼 안크다 생각했는데 넣어보니 엄청 들어가네요,공간효율성
72711,색상도 이쁘고아주 만족합니다,디자인
72717,배송이 엄청 빨라요 오프라인보다 다른 온라인보다 엄청 싸게 샀어요  냉장고 전기도 기존 냉장고보다 용량은 더 큰지만 더 적게 먹네요 디자인도 좋구요 간단한것들  가볍게 넣고 꺼낼수 있어서 마음에 듭니다 추천합니다,동작편리성
72718,배송이 엄청 빨라 놀랐어요친절한 기사님 두분이서 꼼꼼히 체크도 잘해 주시고정확한 배송약속 시간과 함께깔끔한 뒷마무리까지 맘에 들었답니다무엇보다도 제품의 깔끔한 디자인과 앞서 사용햇던 타사 제품의 스텐드형 김치 냉장고에 비해 성능도 뛰어나 아주 흡족합니다,디자인
72719,배송이 빨라서 김장도 빨리 했네요타회사 제품8년정도 쓰다 이번엔 엘지로 바꿨는데 좋네요냉장고도 이쁘고 맘에 듭니다고장안나고 오래썼으면 좋겠어요,디자인
72730,배송도빠르고 상품도 너무이쁘고 조용하고  좋아요,디자인and소음
72744,디자인이 비교적 마음에 들어요,디자인
72745,디자인도 이쁘고 배송기사님도 친절하고 만족스럽습니다,디자인
72755,김치냉장고가 오래되서 이사가면서 바꿀까하는데 이 포스팅을 보니 인상적이네요  깔끔하고 수납공간도 넉넉한 것 같아서 참고하겠습니다,공간효율성
72763,기능도 당연히 좋겠지만 저는 진한 컬러감이 무척 맘에 들어요,디자인
72773,11월 김장철에 주문해서 배송은 다소 늦었습니다토일포함 10일 오프매장도 가봤지만 가격대가 기본 80 온라인 검색 후 LG김치톡톡 보고 바로 결정했습니다 4인가족쓰기 딱 좋은 용량에 저렴한가격 대비 좋은 옵션 디자인까지 마음에 들었습니다  오전 7시30분경 LG기사님 전화와서 설치시간날짜 물어보셔서 당일 원하는시간때에 설치 받을수있습니다1등급에 인버터컴프라 소음적고 간편사용할수있어서 좋은거같아요,디자인
72776,화이트라 깨끗하니 이쁨니다설치도 깔끔하게 해주시고가셨습니다감사합니다,디자인and디자인
72779,한창 김장시즌이라 배송이 최소 2주는 걸릴줄알았는데 지난 주말에 시켰더니 목요일에 와서 깜짝 놀랐네요 김치냉장고는 역시나 이뻣고 서랍들은 조금 뻑뻑한감이 없지않아 있지만 가격대비 생각하면 너무 만족합니다 배송 지정해주는 서비스센터분들도 배송해주시는 기사님들도 너무너무 친절하셔서 더욱더 만족해요,동작편리성
72783,매장에서보고구매후기도좋아서이제품을선택했습니다  토요날구매하여화요일날배송받았어요기사님이친절하게설명해주시고설치해주셨어요스탠드라자리도많이안차지하고10통이나넣을수있습니다칸별로선택해서넣을수있고락앤락용기가냄새가새어나가지않도록해주네요자체탈취기능있다는점도좋으네요상칸만냉장냉동을선택할수있다는점이조금아쉽네요,위생and조작편리성
72784,10년을 사용하던 냉장고가 고장이 났어요 같은 브랜드 제품이었는데 다시 한 번 LG디오스로 구매했습니다 먼저 마트에 가봤어요 타사 제품은 외관이 예쁘고 가격도 좀 더 저렴했었는데 내부는 LG가 훨씬 좋더라고요 그리고 구매해서 사용해보니 잘 선택했다는 생각이 들어요 처음엔 1등급 제품을 사서 20만원 환급을 받을 까 생각했었어요 제가 알기로는 같은 라인이 3가지 정도 되는데 1 2018년 1등급 제품 알뜰야채실 없고 매직스페이스 한쪽만 가능하고 내부에 슬라이드 칸 없고 또 온도조절인지 무슨 시스템이 하나 빠져있었고 다른건 비슷2 제가 산 제품인데 양쪽 매직스페이스에 슬라이드칸중요 있고 알뜰야채실도 있고3 2번과 같은데 블루투스 기능이 있음오케스트라그리고 제품을 받아서 사용해 본 결과 이 제품을 구매하길 잘 한 것 같아요 냉장고를 정리하다보니 생각보다 원래 사용하던 냉장고보다 칸높이가 낮아서 애를 먹었어요 병을 다 바꿔야 했죠 슬라이드칸이 왜 필요한지 절실히 느끼게 되었답니다 그리고 생각보다 깊이도 깊어져서 많이 들어가요  매직스페이스 기능도 너무 좋고요 냉장고 문을 자주 열어도 냉기가 잘 빠지지 않으니 음식도 덜 상하겠죵 그리고 냉동실도 진짜 빵빵하고 열었다 닫으면 바로 냉기가 채워지는 소리가 나요 저는 냉각기가 고장 났었는데 원래 제품은 냉각기가 하나라서 냉동실 고장나니 냉장고도 안됐었거든요 이 제품은 냉동실과 냉장실 냉각기가 따로라서 2개래요 너무 좋아요 배송은 LG물류센터 직원분은 아니셨던 거 같아요 하지만 정품음 맞고 친절하게 설명도 잘해주시고 설치도 안전하게 해주셨어요 제 상품평이 조금이나마 도움이 되셨기를 바라면 좋은 냉장고 구입하시길 바랄게요,기타and공간효율성and공간효율성and기타and기타
72785,크기도 적당 깔끔한 흰색에 배달도 친절하네요,디자인
72786,역쉬 lg네요크기도 엄청크고 소음도없어요냉장고도 이쁘구  정말 잘한것같아요,소음and디자인
72795,처음 안내받았던 배송일자 보다 늦게 배송 돼서 아쉬웠지만 제품은 마음에 들어요 소음도 없고 식구 많지 않은데 용량도 좋아요 아직까지는 이상 증상 없이 사용 잘 하고있어요,소음
72806,좋아요키자마자 시원하고 이전것과 다르게 소음도 잘 안들리네요저렴하고 잘 샀어요배송해주시는 분이 친절하고 쓰던 냉장고도 가져가 주셨어요 감사해요,소음
72809,좋습니다향균 기능도 있고 행사때 저렴하게 구매했습니다,위생
72813,조용함 상하칸 분리선택 가능배송 빠릅니다,소음
72824,김치 뿐만 아니라 다용도로 다 사용할수 있어서 너무 좋을거 같아요 저도 꼭 사고 싶은 가전중에 하나예요,공간효율성
72836,배송해주시는 분들도 친절하고 깨끗하게 마무리해주셨어요용량이커서 깊이가 깊을까봐 걱정했는데 중간중간 바스켓도 있어서 걱정안해도 될것같아요에너지효율등급이 3등급이라 전기세가 좀 나올것 같지만그래도 싸게 잘햏네요다만 주문이 많아서 인지 배송이 한달정도 걸려서 좀 아쉽니다 감사합니다,공간효율성
72837,냉동 칸칸으로 서랍형이라 물건별로 두기가 편해요 용량은 작은편이긴한데 양문형 냉동고 3분의 2 조금 안되게 들어가는 양이예요 맨위얼음칸도있고 얼음덜수있는 스푼도 있어요 서랍형이라 물건많이넣으면 그립감은 좋지않아요,촉감
72839,외부색상이 맘에 들어여 때도 덜탈것 같고 배송설치도 깔끔하게 해주셨어요,디자인
72842,와 크고 좋은데다외관 디자인까지 엄청 새련되었어영  저도 사구싶네요,디자인
