리뷰 번호,리뷰 원문,카테고리
24830,세척너무잘되고 너무 편합니다설거지가 많이 나와도 걱정없고 진짜 깔끔하게 세척되어서 집안일하는시간이 단축됩니다빨리사는게 이득입니다무광화이트 싱크대랑도 잘어울리고 너무너무 좋아요,위생
24851,식세기 이모님 덕분에 설거지에서 해방되었어요 깨끗이 잘 닦이고 넘 조용해요 만족,위생and소음
24863,8년간 쓰던 6인용 매식세기가 고장나서 고쳐쓰려니 수리비용이 너무 많이 들더라구요폭풍검색 최저가찾아서 7일낮에 주문했는데오후에 배송시작한다고 전화를 주셨어요감사그리고 오늘9일오전 초고속으로 주문 48시간만에 설치완료일단 외관은 깔끔하고 좋아요내부는 기존에 쓰던거에 비해 넓게 느껴져요한번 사용해 보니  윗쪽이 훨씬 넓어졌어요소음은 많이 신경쓰이는건아니지만매보다는  조금 더 커요설치할때 씽크대에 구멍을 내야되는데급수배수 호수를 같이 아래로 빼서 연결을 하는거라 생각보다 큰구멍을 뚫었어요기존에 쓰던거는 씽크대위로 배수를해서좀 지져분해 보이고 걸리적 거렸는데씽크대 아래로 연결해주니 깨끗하고 너무 좋아요식세기 고장나서 새로 사야된다는게 기분이 좀 그랬는데최저가에  설치비까지 무료뭔가 엄청 득템한기분이예요판매자님설치기사님 너무 친절하게깔끔하게 잘  설치해주셔 감사합니다,디자인and소음
24869,이쁘고 아주 좋아요굿,디자인
24872,바빠서 기사님께 비번 알려드리며 부탁드렸는데상세 설명을 통화문자로 자세히 해주셨어요제품은 말안해도 뭐 넘 예뻐용,디자인
24877,기존 사용하던 8인용보다 너무 편하고 조용해요 설치도 깔끔하게 잘 해주셨고 디자인 성능 가격 모두 맘에 들어요 싱크대와도 너무 잘 어울려요,소음and디자인
24880,헉저도 식세기 들어갔다 나오면 더 더러워지는 느낌이에요 애벌해서 겉으로 보기에는 깨끗해 보이는거 넣어도 나올땐 무지개나 하얀 얼룩이  그렇다고 매번 베이킹소다로 끓이기도 손세척만 해야하는걸까요,위생
24896,저도 광 안나요 오히려 더 때낀듯한 느낌  그래서 저는 그냥 손설겆이 합니다,위생
24908,설치 안될까봐 걱정했는데 오셔서 보시고 바로 설치해주시고 가셨습니다 정말 감쪽같이 빌트인으로 해주셔서 너무너무 예쁘네요 아직 개시는 못했지만 시범운행만 봐도 잘돌아 갈것같습니다,디자인
24920,기름기 많은거 요리하고는돌리는데 별로 깨끗해지지가않네용어떻게 다들 반짝해진다는건지 궁금해요,위생
24931,1 배송 1127주문하고 며칠후 사전점검 오시고 122 싱크대 작업 123 식세기 설치까지 생각보다 빨리 설치되어 너무 좋았습니다2 성능 스텐제품은 광이 날 정도로 깨끗이 씻겨지고 린스를 사용해서 그런지 생각보다 물얼룩이 없네요 스텐 식판도 구석구석 잘 닦여서 만족합니다 전반적으로 깨끗하고 스팀을 하니 더 안심이 되네요 소음도 그렇게 크지 않아요3디자인 던그레이는 유광이라 기존 부엌과 이질감 없이 잘 어울려요 작동하는 시간이 디스플레이에 나오니 마치는 시간을 알수 있어서 좋아뇨4 가격 카드 할인 받아 적당한 가격에 구매했습니다허리가 안좋아 오랫동안 손설거지를 못해서 구매했는데 너무 좋네요 식세기에 하나하나 그릇 넣을 시간에 설거지하겠다 하는 생각이 무색해지게 진작 살껄 싶은 생각이 들었어요 건조기로봇청소기 식세기까지 있으면 삶의질이 팍팍 올라가겠어요 어린 자녀 키울수록 집안일하랴 육아하랴 정신 없는데 고민말고 들이시면 좋을것 같아요 설거지는 식세기에 맡기고 애들 한번 더 봐줄 수 있어서 너무 좋아요,소음and디자인and시인성가독성
24937,너무이뻐요 아직 세제주문한게 안와서 사용은못해봤지만 넘이쁘네요,디자인
24944,후회됩니다 왜 이제야 샀는지  무조건 사세요 색상도 넘 취저,디자인
24945,설겆이잘되고 조용하고 설치기사님도 엄청 친절하셨어요 식기이모쓰다가 고장나서 손설겆이하다가 주부습진이와서 급하게 구매했는데 아주 좋아요 식기이모없이 그동안 어떻게살았는지 앱이랑 연동하니 끝나는 시간이나 사용횟수등을 알려줘서 따로 신경쓰지않아 더 좋아요 30회사용하면 통살균하라고 알려주고 세제도 이것저것바꿔가며사용해봤는데 한제품말고는 모두 설겆이가 잘됬어요 한제품은 물이 뭍으니 세제통에 세제가 남아 휴지로 닦아서 넣어썼어요 그제품말고 나머지는 너무 잘되었다는점 만족스럽습니다,소음and시인성가독성
24949,예뻐요 세척도 잘 됩니다 맘에 들어요,디자인
24957,배송은 주문하고 이틀뒤 오셔서 설치 가능하다고 이야기해주셨고늦게 설치 될거라 생각했는데 바로 해주셨어요살생각은 없었는데 딜 떴길래 고민하다 상품평들이 너무 좋다기래큰 맘먹고 질렀어요씽그대 색상이랑도 잘 맞고 깔끔하게 설치까지 해주셨네요,디자인
24961,냄비랑 그릇은 겹쳐놓기도 하는데 접시는 다 세워 놓거든요 근데 접시도 기스가 많이나니 왜 그런지 모르겠어요,기타
24974,사전점검받고 설치했는데 색이 너무 예쁘네요 사용은 아직안했지만 배송도 빠르고 좋아요,디자인
24986,완벽한 건조가 되지 않는것 같아요,기타
24987,3일 사전방문 4일 설치 받았어요오래걸릴줄 알았는데 예상보다 빨리설치 되서 좋아요기존에 아팟 입주할때 옵션으로 있던 동양매직꺼 철거하고10년 만에 식세기 다시 써보네요확실히 소음이적어요 문여닫는것도 부드럽고 그간 많이 발전했네요LG꺼라  더욱 믿음이 갑니다기존 식세기와 한치 오차도 없이 사이즈가 동일해서 추가비용 없이 제자리 딱 들어 앉았네요씽크대가 오래 되서 하부장 문만 바꿀 예정이라 흰색으로 했어요원래 베이지와 그린도 있다고 설치기사님이 그러시네요식세기 들어놓을자리 청소하는거도 기다려주시고 문짝 발런스도 맞춰주시고 배수관이 너무 끼여있다고 동그랗게 반타공 해주시고 정수기 호스가 앞으로 나와있는것도 씽크대 타공해서 안보이게 친절하게 수리해주셨어요걸레받이를 잘라내더라도 밑에 까지 내려오는 모델을 할껄 그랬나싶네요추후에 이사가면 가져가는걸 생각못하고,소음and동작편리성
24998,좋아요 디자인도 이쁘고,디자인
25003,저희 집도 lg  식세기 이용중이였는데 얼룩이 자꾸 남는게 찝찝하기도 하구 애기 때문에 걱정했는데 고민 해결했네요 lg에서 사길 잘한거같아요,위생
25018,딥그린 너무 예뻐요 싱크대색상과 맞춰서 베이지 하려다가 포인트주려고 딥그린 선택했는데 아주아주 예뻐요 다만 세척후에 그릇에 동글동글 물방울 모양 자국이 생기네요  아직 제대로 작동법늘 몰라서 그런건지 그것빼고 다 만족해요,디자인and위생
25028,설치과정에서 문제가 좀 있긴했지만 확인후 빨리 처리해주셔서 좋았어요디잔 이쁘고 이젠 설거지옥에서  벗어나겠네요,디자인
25034,고급지고 싸고 좋습니다,디자인
25038,저희집에 식세기 이모님 오셔서 편해요 사용안할때도 문을 열어둬야겠어요 한번사용 후 문을 닫아뒀더니 쿰쿰한 냄새가 나는듯해요,위생
25052,다놔와 네이버 에서 성능 가격 검색해보고 구입했습니다 싱크대 구조상 설치비가 들기는 했지만 잘 설치한거 같아요 화이트라 깨끗하고 좋습니다,디자인
25063,크 식세기의 기쁨도 물론 있지만요세척기로 돌릴 식기가 적으면 아쉬운 마음이 들어서 로봇청소기는식세기보다 5배월화수목금는 더 만족도가 높습니다 집에 오면 확 깨끗합니다  먼지 찌끄레기가 없어요  17시에 청소시켜서 퇴근하고 오면 항상 좋아좋아빨리 영접하시지요 지름 유혹,위생
25072,저두 똑같은 편견이 있었습니다만결국 잘 쓰는 방법을 잘 찾아내니까 사람 손과는 비교도 안 될 정도로 깨끗하게 됩니다제일 신경쓰이는게 밥풀입니다 밥풀도 스팀모드는 잘 되는 편이지만 오랜 시간 눌어지게 하면 아무래도 조금 남는 부분이 있긴 해요 그 외에는 99 라고 보시면 됩니다,위생
25075,저도 일주일 째인데 완전 좋은거 같습니다  근데 돌리때 은근 소리가 크더군요부엌에 둬서 그런거 부어엌 부어엌 거립니다 어제는 뜬금포 be 에러코드가 떴는데좀 지켜봐야 겠어요,소음
25084,오오 질렀군요  근데 꾸마님네도 설거지 마니 나와요 왠지 마니 안나올거 같은데  집에서 밥 마니 드세요저는 꼭 그렇지도 않은데 설거지는 요즘 좀 나오는거 같아요 그리고 없을때는 설거지 진짜 잘 했는데 왜 컵 하나도 내손으로 닦기 싫은건지 모르겠네요진짜 잘 쓰고있긴해요 넘나 좋긴하더라구요 저만 물 떨어지는거 아니죠 아니 고온건조 하는데도 왜 물기가 있는지 모르겠어요  린스 쓰라고 하던데 린스까지 써야하는건지,기타
25099,식기세척기가 영롱하니 너무 이쁘네요 기능까지 너무 좋아서 있으면 삶의 질이 높아질것 같네요,디자인and디자인
25103,세도잘되고 오브제이쁘네요,디자인
25119,너무 이쁘고 좋아요 설치도 원하는 날짜에 오셨고깔끔하게 설치해주셨요 빈틈까지 딱 맞게 해주심소금넣고 쓰는 게 좋다고 수치검사까지 해주셔서소금도 사다놨네요,디자인
25122,고온 건조 기능을 활성화 시켜야 세척 후에 그릇의 잔열로 건조가 됩니다 그래서 자기류는 잘 마르는데 플라스틱류는 건조가 잘 안되요,기타and기타
25140,계란찜으로 눌러붙은거 외에는 기름 때 포함 밥풀까지 잘 닦입니다,위생
25142,편하고 좋아요색상도 무난하고 굿,디자인
25169,츤츤이도 식세기 이모님 탐내더니 질렀 저흰 허리 굽히는 거 싫어서 그냥 싱크대 위에 올려둔 저도 보통 여자들이 식세기를 사고파하는 줄 알았는데  붸붸님이랑 츤츤이는 저도 1시간 반 걸리는 식세기보다 그냥 설거지하는 게 더 좋아요 헐 완성까지 1달 걸린 건 붸붸님이 좀 너무하셨네요저도 되다만거 보면 볼때마다 스트레스 받는 타입이라고온 살균 뭐 이런 기능 좋긴 한데 꺼낼 때 고인 물 떨어지는 건 별로더라구요그래도 설거지 많이 나오는 집은 식세기 있는 게 편하긴 하겠다 싶어요,위생
25187,엄청 친절하시고 소음도 크지 않고 좋네요 아주만족,소음
25232,고민 많이 하고 구매했는데 우선 자연퐁에서 나온 세제 주셔서 그걸로 사용했더니 고춧가루 몇개 붙어 있는 스테인냄비는 전혀 세척이 안되요 인터넷 찾아보니 세제 문제라는데 세제 바꾸고 사용해 봐야겠어요 설치는 빨랐고 기사님도 정말 친절하셨습니다,기타
25235,색깔도 잘 어울리고 예뻐요기능도 좋습니다,디자인and디자인
25257,저도 어지간하면 표준만 하고 그냥 열어놓고 자연건조 하고 싶어요 근데 저렇게 얼룩이 생기니 오기가 생겨서 이것저것 해보게 되네요 아 근데 저도 애벌은 하긴 하는데요 세척끝나자마자 열어보면 식기들에 거품이 보글보글 있어요 그건 혹시 린스일까요 세제일까요  애벌한 애들식기도 마친가지고요 시간 지나고 열면 그런거 안 보여요 끝나자마자 열어보묜 그런게 있는데 혹시 아시나요,위생
25261,오븐자리군요 저는 수전아래쪽이라거실에서 바로 보이는곳 설치에요 베이지도 예쁘네용,디자인
25288,하부장에 딱 맞고 동작시 소음이 적음,소음
25317,기존 식세기가 작동중 뻗어 16년된 거를 살려서 쓰기도 그렇고 난감했는데 생각보다 설치가 빨랐습니다아침에 전화오더니 점심때 바로 설치해주셨어요 기존 빌트인이 있으니 사잔답사 필요없음옛날 것보다 소음 진동이 적어 좋네요,소음and소음
25336,뭔가 설정이 잘못된듯요모드를 달리 해서 한번더 돌려보시길요전 스팀고온살균고온건조 다누르고 2시간12분 하는데 스팀 넣고 안넣고 그릇 뽀득 말려 나오는게 다르더라구요 시간이 다되야 음악나오면서 문열리구요모드 다른거 한번 해보신후 다시 원래 하셨던 모드 해보시고도 그러면 기사님 부르시는게 맞는것 같아요,기타
25349,저도 엘지요 시간 다 끝나면 종료음 소리와함께 문열려요,사운드
25356,오브제 식세기 쓰고있고 0되야지 열려요 소리나면서요,동작편리성
25360,에코버 뉴올인원 쓰는데 냄새도 없고 반틈만 써도 잘씻겨요,위생
25380,사진이랑 똑같은 제품 사용중이에요표준 고온살균 고온건조로 돌리는데시간 0되고 종료벨 울리고 자동문 열려요,동작편리성and사운드
25390,깔끔하고 이쁘네요무광하려다 바꾼건데 잘한거 같아요다만 한샘싱크대  서랍장 사이즈가 규격사이즈였고 걸레받이도 15cm여서 철거비 무료일줄 알았는데 철거 및 서랍장 뺀자리 기둥 덧댐시공비라며 10만원정도 받으시더라구요이외 설치 기사님 친철하셨고 제품도 마음에 듭니다,디자인and디자인
25394,네 그건아는데문열림이 종료 시간 이전에 열려서 그게 좀,동작편리성
25395,넘 예쁘죠 오브제 라인은 혹시 촬영은 아이폰으로 하시는 건가용,디자인
25423,주방이랑 잘어울리고 이쁜거 같아여 기능적인건 더 써봐야 알거같아여,디자인
25424,디자인이 너무 예쁘고 주방색이랑 어울려서 구매했어요 성능도 단연 오브제가 제일 좋은 것 같구요 주문하고 답사 설치까지 평일 3일 걸렸어요 감사합니다,디자인
25426,정말 너무 이뻐요 아주 이쁜화이트예요,디자인and디자인
25427,저도 주고 가셨는데 한번 써봤는데 물자국이 너무 심해가지구요 다른걸로 갈아타보려고 합니다,위생
25434,연수기능은 소금을 넣는구만 세척기 진짜 넘 편하겠다,유지관리
25454,네 가스 냄새 안 나고 손 안 뜨겁고청소도 편하고 진짜 좋아요즐거운 쇼핑하세요,위생
25456,너무 예쁘고 세척도 잘 되네요,디자인
25457,깔끔하고 이쁘고 친절해서 좋았어요,디자인and디자인and디자인
25463,표준은 특히 조용해서 저는 진짜 만족하는데 왜 그럴까요,소음
25465,10일 구매 후 사전점검 받고 16일에 설치 받았습니다 제품 만족스럽고 디자인도 예뻐요 설거지 잘 됩니다,디자인
25466,저희도일정구간약간의소음빼고는돌아가는지모르게돌아요약간도 별 티도안나요,소음
25476,잘사용하고 있어요 소음도 적고 좋다고 하네요,소음
25487,소리가 아주 커요 통돌이 세탁기는 오히려 돌아가는지도 모르는데 이거는 웅장한 파도소리네요,소음
25496,생각보다 넓고 세척도 깨끗이 잘되네요 만족합니다,공간효율성
25519,부분세척하신건가요전 지금 부분 세척하는데 좽일 소리가 장난아니예요 세탁기보다 시끄럽네요,소음and소음
25522,저희집 씽크대 하부장이 연그레이색이라서 어울릴까 고민했었는데고급스럽고 예뻐요식세기를 왜 이모님 들였다고 표현하시는지 알거 같아요,디자인and디자인
25540,아주 맘에 들어요 둘째 임신을 해서 남편이 사줬네요간편하고 좋은데 완전 건조가 아니라는게 조금 아쉽네요그래도 아주 편해져서 좋아요시공사 분도 설치기사 분도 친절하고 설명도 아주 자세히 해줘서 좋았습니다,기타
25581,저는 사용한지 며칠안되긴 했는데 자동문열림되고 좀더  열어놓으면 2시간뒤 거의다 말라 있더라구요,동작편리성
25597,싱크대가 어두운색이라 실버할까 고민하다가 상대적으로 저렴한 화이트했는데 꽤 잘 어울려서 만족스러워요 설치기사님 넘 친절하시고 다른 수도배관도 봐주셔서 넘 감사했습니다 진짜 서비스도 디자인도 성능도 맘에들어요,디자인and디자인
25604,소음도크지않고 잘쓰고있어요,소음
25606,설치하니 예쁘고 편하네요,디자인
25610,감사합니당강제배수 그냥 전원키고 전원버튼 길게누르는거였어요물 빠지고 아주 작동 잘되네요,조작편리성
25611,망에도 흥건하길래 빼봤는데도 저래요망에 뭐낀거하나도없고 항상애벌해요,위생
25632,조용해요 살짝 오래걸리지만,소음
25654,소금 안에서 굳어버리면 인식 못하더라구요 소금 조금 넣고 물넣고 녹인다음 또 넣고 물넣고 이렇게 해야한다고 하셨어요케어해주시는 분이  저 그걸 모르고 이전에 소금만 가득 부었다가 안에서 굳어서  베스킨숟가락으로 긁고 부수고 하면서 다 녹였더니 저 깜박이는거 없어지더라구오,유지관리
25660,색상이 주방이랑 너무 잘 어울려서 만족합니다 기능은 아직 많이 사용하지 않았으나 굿이다,디자인
25668,네네 해보셔요 소리가 꽤 크네여,소음
25673,6인용쓰다가 자리 많이 차지해서 이번에 구입했는데장 설치 잘해주셨고소리 조용하고 냄비도 잘 닦여서너무 좋아요,소음
25686,좋아요 오브제라 이쁘기도 하고요,디자인
25690,전자기계랑 안친해  대충쓰는 타입인데 얼룩이 계속남아   한번설명서대로 해봐야겠단  생각이 들어서요,위생
25699,아주 이쁘네요  기사님도 친절하시고 모두 만족입니다,디자인
25717,배송도 빠르고 기사님도 친절하게 사용 설명 상세하게 해 주셔서 감사합니다 제품도 고급스럽고 만족합니다 추천합니다,디자인
25718,물  경도에 따라 천일염 투입해주셔야해요  동봉된 리트머스시 체크잘하시길 추카드려요,정보성
25721,너무좋네요 색상도이쁘고 소리도조용해요오늘부터 저도 식세기이모님과함께삶의질은 높여보겠습니다,디자인and소음
25727,LG 식기세척기 중에서 소음이 가장 적은 제품을 행사기간에 가장 많이 할인된 가격으로 구입할 수 있었습니다 실용적일 뿐만 아니라 예쁜 디자인 깔끔한 세척 가격대비 가장 좋은 제품으로 적극 추천합니다,소음and디자인
25737,조용하고 좋아요  설거지 하는 시간에 쉬니까 넘나 좋네요아가때문에 제대로 끝낸적이 없었는데,소음
25738,전원이 꺼진상태에서 띵동 띵동 울리는 알람에 대해 LG에 문의하니까 고온 건조 중이라 조심하라는 알람이라고 하더라구요,정보성
25743,세제 쓰면 물자국은 잘 생깁니다 저는 린스도 우리밥먹는 그릇인데 좋지않을거같아 비추합니다  식세쓴지 10년정도 됐는데 식세사용검색 엄청했었네요 한때  식세 원리도 알고싶기도하고,위생
25747,오브제 식기세척기 사용중입니다 유튜버 귀곰님이 추천하시는 케스케이드 식기세척기 세제 추천합니다 저는 식기세척기 구매 후 린스를 단 한번도 사용해본 적 없지만 물얼룩 한번 본적 없습니다 기적의 세제입니다,위생
25758,색상너무이쁘곺성능도굿,디자인
25759,배송빠르고 클레이브라운 컬러도 넘이뻐요,디자인
25765,너무 예뻐요 작동은 안해봤지만 잘될거란 믿음,디자인
25772,프로쉬를 반 잘라서 써보셨나요  세제량이 많아도 자국이 생기던데요 전 프로쉬 반 잘라서 써요 기름기 많은날만 한개쓰구요소금은 한번도 넣어본적 없어요,위생
25783,소금반드시 식기세척기용 소금으로 1키로를 물에 녹여 소금 자리에 넣으시고 메세지가 뜨면 소금만 1키로씩 계속 넣어줘야 해요 좀 심하긴 하네요 전 전혀 안생기던데요 서비스 한번 불러 점검 받아보세요,기타
25784,조용하고  3단이어서 세척이 편해요,소음
25785,제가 써본것 중엔 밀레 타블렛세제가 제일 물자국 안남았어요 근데 쫌 비싸요,위생
25789,저두 프로쉬요 딴거 다 써봐도 물비린내나고 그랬는데 프로쉬로 정착했어요,위생
25790,저도 프로쉬쓰면 종종 자국이 남아서 캐스캐이드 플래티넘인가 직구해서 썻더니 자국 안남았어요,위생
25797,에코버 뉴올인원 좋아요 에코버 예전부터 지금까지 쭉 쓰고있는데 냄새도 없고 딱 좋아요,위생
25817,생각보다 소음있어요 조용하진않은데 왜다들 조용하다 하시지 적응이 되면 괜찮고 설거지 안하는대신 이정도는 참겠다싶어요,소음and소음
25819,주문하고 1주일뒤에 엘지 기사분께서  전화오셨고방문해주셨구요 사전답사 하시고 장 사이즈가 맞아서 따로 공사없이 설치 가능하다고 하셨어요그로부터3일후에 설치했습니다주문에서 설치까지 총 10일 걸렸습니다10일의 기다림의 시간이 너무 길었어요구입하겠다 마음먹고 진짜 많이 찾아보고 고민많이 했는데 그냥 하루라도  빨리 사는게 이익입니다제가 손으로 하는것보다 훨씬 깨끗하게 씻어져서 나와요1주일정도 사용했는데 왜 식세기 이모님인지 알겠더라구요 기사님들도 다 친절하시고가전은 엘지라 디오스랑 오브제 두고도 한참 고민하다가 오브제 선택하고 또 베이지랑 그린색두고 한참 고민했는데흰색부엌에 그린색이 생각보다 잘어울려서 만족합니다하이마트 베스트샵도 다녀오고 인터넷검색도 엄청하다가 여기서 구입했어요쓱데이 카드할인 행사가있어서 10프로 할인받으니 인터넷 최저가보다 저렴하더라구요 사실 계획있으신 분들에게 강추합니다역시 집안일은 장비빨이네요,디자인
25820,주문과 송금 후 11일 만에 설치 기사님이 아침 일찍 직접 차에 싣고 오셔서 깔끔하게 설치하고 친절히 사용설명도 잘 해주셨습니다세제 구입을 못하여 아직 사용은 못해봤지만 외관과 색상이 미려하여 주방 분위기를 살리고 내부도 정교하고 깨끗합니다선택에 만족합니다,디자인and디자인
25828,이거 사세요저보다 더 마음급하신 설치 기사님들께서 전화오셔서언제 설치해드릴까요 라고 물어봐주신 덕에이렇게 이쁜 식세기를 예정날짜대로 영접하게 되었습니다테스트 사용방법 등에 대해서 친절히 알려주셨어요이케아 주방에 딱 맞추어서 들어갔고 어떤 주방이든 미리 치수만 잘 정하면 무탈하게 설치 가능합니다엥간한건 다 닦입니다톤은 이케아 복스트로프와는 약간 다르지만 뭐 어때요 올화이트인데 이렇게 잘어울리는데,디자인
25840,설치기사님 너무 좋으셨고 가격도 여기가 제일 저렴했습니다  색상 정말 이쁘네요 설치도 엄청 빨리 해주셨어요 만족합니다,디자인
25849,너이쁘고 화이트랑잘어울려요,디자인and디자인
25855,진짜 너무 오래 기다려서 받은 식기세척기임 장공사는 거의 사고나서 일주일도 안되서 받았는데식기세척기가 3주이상은 더 기다렸어야되서아기가 장 안쪽에 들어가려는 불상사가 잦아서좀 아쉬웠음 차라리 오래걸릴꺼면 장공사도늦게해주지싶고그래도 늦게 받았지만 설치해주시는 기사님이너무 친절하셨음나는 그냥 세탁기처럼 넣으면 끝이겠지라고 생각했지만설치하는 시간이 1시간에서 1시간반정도 걸린다고함설명하는시같이온 식세기 세제도 원래 구매해서 써보려했던제품이라서 마음에 들었고설명도 엄청 친절하고 핸드폰으로 공부할수있는 유튜브 동영상 사이트도 보내주셨음처음엔 테트리스가 어려워 괜히샀나싶었지만일주일 지나니 진짜 내시간이 생김식세기에 넣을수없는 플라스틱이나 뚜껑같은건손설거지해야되지만아기 식판이나 그릇이 너무 뽀득하고스팀으로 했다는 생각때문인지 뭔가 세균도없을꺼같고손으로 했을때보다 만족만족아 손으로했을때 뜨거운물로해도 나던물비린내가 안나서 너무너무 좋음,위생and위생
25864,언젠가부터 전면패널에 시간표시가 안되서 AS불러야 하나 했는데 덕분에 잘 해결했어요,정보성
25869,생각보다 빨리 설치가 되서 좋았네요깔끔 하고 대만족이요,디자인
25874,라인도 딱 맞고 예쁘고 좋아요만족합니다,디자인
25883,저 프로쉬 반쪽에 식초 두번정도 쭉 짜서 넣거든요 세제통에요 그뒤로 물얼룩 없어요,위생
25894,미네랄자국이라고 하는데 영찝찝해요,위생
25897,네  건조 어느정도 되면 자동으로 열려요,동작편리성
25903,건조 다 돼야 열려요 저희도 무한 1분이에요,시인성가독성
25908,팔목이 아파 구매했는데 냄비까지 들어가니 만족스러우나  물기없는 완전건조기능이 추가되면 좋겠어요바구니에도 물이 방울방울 맺혀있어요작동버튼이 손잡이 상단에있어 닫으면 씽크대상판에 가려져 누를수가 없어 살짝열린 상태에서 작동시키고 도어 닫아야하네요 추후엔 눈에 보이는 위치로 손잡이 정면으로 변경하셨음 합니다구매하실분은 배송설치전 정제소금 미리 구매해 놓으세요,기타and위생and기타
25912,전 그거써도 얼룩지던데요,위생
25918,일주일 안으로 사전답사 와 설치 완료함기사님친절히 설명주심삼성 비와 엘지디오스 식기 둘다사용해본결과엘지가 국내 제조 부품도 국산이며 가격은 조금 나가지만 매우만족디자인 면에서 외부코팅이 너무 맘에듬진한싱크인데 색이 오히려 어울리는듯해서 만족함감사합니다11번가 화이팅,디자인
25923,어느날부터 조금 많다싶은 설겆이를 하면 손목이 아팠는데 식기세척기 구매후시간적여유도 있고 참 좋네요그릇들도 깨끗하게 잘 닦이고 트루스팀으로 살균효과까지 매우 만족합니다,기타
